,sdate,edate,municipality_name,county,displayName,type,mode,category,concern
1021,2019-11-08,9,Södertälje kommun,Stockholms län,Sveriges Radio P4 Södertälje,lokalredaktion,redaktion,Etermedier,Sveriges Radio
1022,2015-04-12,9,Södertälje kommun,Stockholms län,SVT Nyheter Södertälje,huvudredaktion,redaktion,Etermedier,Sveriges Television
1023,1993,9,Södertälje kommun,Stockholms län,Södertäljeposten,huvudredaktion,redaktion,Gratistidning,
1024,2013-05-01,2016-06-30,Mariestads kommun,Västra Götalands län,Mariestad.nu,huvudredaktion,redaktion,Sajt,
1025,1817,9,Mariestads kommun,Västra Götalands län,Mariestads-Tidningen,huvudredaktion,redaktion,Dagspress,NWT
1026,2012,9,Mariestads kommun,Västra Götalands län,Tidningen Unica Mariestad,huvudredaktion,redaktion,Gratistidning,
1027,0,9,Töreboda kommun,Västra Götalands län,Mariestads-Tidningen,lokalredaktion,redaktion,Dagspress,NWT
1028,2009,9,Töreboda kommun,Västra Götalands län,Törebodakanalen,huvudredaktion,redaktion,Gratistidning,
1029,0,9,Melleruds kommun,Västra Götalands län,Melleruds Nyheter,huvudredaktion,redaktion,Gratistidning,
1030,2014-09-26,2015-10-21,Perstorps kommun,Skåne län,Mera Perstorp,huvudredaktion,redaktion,Gratistidning,Skånska Dagbladet
1031,0,2019-12-31,Tingsryds kommun,Kronobergs län,Mera Tingsryd,huvudredaktion,redaktion,Gratistidning,Gota Media
1032,0,9,Tingsryds kommun,Kronobergs län,Nya Allehanda,huvudredaktion,redaktion,Gratistidning,
1033,0,9,Tingsryds kommun,Kronobergs län,Smålandsposten,lokalredaktion,redaktion,Dagspress,Gota Media
1034,2014-06-25,2020-06-17,Botkyrka kommun,Stockholms län,Mitt i Botkyrka/Salem,huvudredaktion,riktad titel,Gratistidning,Mitt i
1035,2020-06-18,9,Botkyrka kommun,Stockholms län,Mitt i Botkyrka/Salem,huvudredaktion,riktad titel,Gratistidning,Direktpress
1036,2008-12-01,2014-06-24,Botkyrka kommun,Stockholms län,Mitt i Botkyrka/Salem,huvudredaktion,riktad titel,Gratistidning,Stampen
