,sdate,edate,municipality_name,county,displayName,type,mode,category,concern
1180,2019-09-26,9,Jokkmokks kommun,Norrbottens län,Norrbottens-Kuriren,lokalredaktion,redaktion,Dagspress,NTM
1181,0,9,Söderköpings kommun,Östergötlands län,Norrköpings Tidningar,lokalredaktion,redaktion,Dagspress,NTM
1182,0,9,Valdemarsviks kommun,Östergötlands län,Norrköpings Tidningar,lokalredaktion,redaktion,Dagspress,NTM
1183,0,9,Valdemarsviks kommun,Östergötlands län,Radio Wix,huvudredaktion,redaktion,Etermedier,
1184,1992,9,Valdemarsviks kommun,Östergötlands län,Valdemarsviksbladet,huvudredaktion,redaktion,Gratistidning,
1185,2015-01-01,2019-06-01,Norrtälje kommun,Stockholms län,Norrtelje nyheter,huvudredaktion,redaktion,Sajt,
1186,2015-04-01,2019-03-31,Norrtälje kommun,Stockholms län,Norrtelje Tidning,huvudredaktion,redaktion,Dagspress,Mittmedia
1187,2019-04-01,2020-04-01,Norrtälje kommun,Stockholms län,Norrtelje Tidning,huvudredaktion,redaktion,Dagspress,Bonnier|Mittmedia
1188,2020-04-02,9,Norrtälje kommun,Stockholms län,Norrtelje Tidning,huvudredaktion,redaktion,Dagspress,Bonnier
1189,1880,2015-03-31,Norrtälje kommun,Stockholms län,Norrtelje Tidning,huvudredaktion,redaktion,Dagspress,Promedia
1190,2019-09-01,9,Norrtälje kommun,Stockholms län,Sveriges Radio P4 Stockholm,lokalredaktion,redaktion,Etermedier,Sveriges Radio
1191,1993-03-01,9,Norrtälje kommun,Stockholms län,Roslagen Runt,huvudredaktion,redaktion,Gratistidning,
1192,0,9,Norrtälje kommun,Stockholms län,Roslagsliv,huvudredaktion,redaktion,Gratistidning,
1193,2020-12-10,2015-04-12,Norrtälje kommun,Stockholms län,ABC,lokalredaktion,redaktion,Etermedier,Sveriges Television
1194,2020-12-10,9,Norrtälje kommun,Stockholms län,SVT Nyheter Stockholm,lokalredaktion,redaktion,Etermedier,Sveriges Television
1195,2019-02-06,9,Norrtälje kommun,Stockholms län,Mitt Roslagen,huvudredaktion,redaktion,Gratistidning,
1196,2019-01-02,9,Essunga kommun,Västra Götalands län,Nya Lidköpings-Tidningen,lokalredaktion,redaktion,Dagspress,NWT
1197,1903-04-03,2019-01-01,Essunga kommun,Västra Götalands län,Nya Lidköpings-Tidningen,lokalredaktion,redaktion,Dagspress,
1198,2019-01-02,9,Grästorps kommun,Västra Götalands län,Nya Lidköpings-Tidningen,lokalredaktion,redaktion,Dagspress,NWT
1199,1903-04-03,2019-01-01,Grästorps kommun,Västra Götalands län,Nya Lidköpings-Tidningen,lokalredaktion,redaktion,Dagspress,
1200,2019-01-02,9,Vara kommun,Västra Götalands län,Nya Lidköpings-Tidningen,lokalredaktion,redaktion,Dagspress,NWT
1201,1903-04-03,2019-01-01,Vara kommun,Västra Götalands län,Nya Lidköpings-Tidningen,lokalredaktion,redaktion,Dagspress,
1202,2019-01-02,9,Skara kommun,Västra Götalands län,Nya Lidköpings-Tidningen,lokalredaktion,redaktion,Dagspress,NWT
1203,1903-04-03,2019-01-01,Skara kommun,Västra Götalands län,Nya Lidköpings-Tidningen,lokalredaktion,redaktion,Dagspress,
1204,1884,2020-02-29,Skara kommun,Västra Götalands län,Skaraborgs Läns Tidning,huvudredaktion,redaktion,Dagspress,Hallpressen
1205,2020-03-01,9,Skara kommun,Västra Götalands län,Skaraborgs Läns Tidning,huvudredaktion,redaktion,Dagspress,Bonnier|Hallpressen
1206,2010-01-01,2017-11-01,Skara kommun,Västra Götalands län,Skaraborgs Nyheterna,huvudredaktion,redaktion,Sajt,
1207,1955,9,Skara kommun,Västra Götalands län,Skaraborgsbygden,huvudredaktion,redaktion,Dagspress,
1208,2020-01-01,2015-04-12,Skara kommun,Västra Götalands län,Västnytt,lokalredaktion,redaktion,Etermedier,Sveriges Television
1209,2020-01-01,9,Skara kommun,Västra Götalands län,SVT Nyheter Väst,lokalredaktion,redaktion,Etermedier,Sveriges Television
1210,0,9,Torsby kommun,Värmlands län,Nya Wermlands-Tidningen,lokalredaktion,redaktion,Dagspress,NWT
1211,0,9,Torsby kommun,Värmlands län,Sveriges Radio P4 Värmland,lokalredaktion,redaktion,Etermedier,Sveriges Radio
1212,2017-03-01,2015-06-01,Torsby kommun,Värmlands län,Värmlands Folkblad,lokalredaktion,redaktion,Dagspress,NWT
1213,0,2015-06-01,Torsby kommun,Värmlands län,Värmlands Folkblad,lokalredaktion,redaktion,Dagspress,
1214,0,9,Hagfors kommun,Värmlands län,Nya Wermlands-Tidningen,lokalredaktion,redaktion,Dagspress,NWT
1215,2017-03-01,9,Hagfors kommun,Värmlands län,Värmlands Folkblad,lokalredaktion,redaktion,Dagspress,NWT
1216,0,2017-02-28,Hagfors kommun,Värmlands län,Värmlands Folkblad,lokalredaktion,redaktion,Dagspress,
1217,0,9,Tjörns kommun,Västra Götalands län,NyheterSTO,huvudredaktion,redaktion,Sajt,
1218,1925,2019-03-31,Nynäshamns kommun,Stockholms län,Nynäshamns-Posten,huvudredaktion,redaktion,Dagspress,Mittmedia
1219,2019-04-01,2020-04-01,Nynäshamns kommun,Stockholms län,Nynäshamns-Posten,huvudredaktion,redaktion,Dagspress,Bonnier|Mittmedia
1220,2020-04-02,9,Nynäshamns kommun,Stockholms län,Nynäshamns-Posten,huvudredaktion,redaktion,Dagspress,Bonnier
1221,0,9,Simrishamns kommun,Skåne län,Sveriges Radio P4 Kristianstad,lokalredaktion,redaktion,Etermedier,Sveriges Radio
1222,0,2011-09-30,Simrishamns kommun,Skåne län,Ystads Allehanda,lokalredaktion,redaktion,Dagspress,Bonnier
1223,2011-10-01,9,Simrishamns kommun,Skåne län,Ystads Allehanda,lokalredaktion,redaktion,Dagspress,Gota Media
1224,1986,2011-09-30,Simrishamns kommun,Skåne län,Österlen Magasinet,huvudredaktion,redaktion,Gratistidning,Bonnier
1225,2011-10-01,9,Simrishamns kommun,Skåne län,Österlen Magasinet,huvudredaktion,redaktion,Gratistidning,Gota Media
1226,0,9,Skövde kommun,Västra Götalands län,Sveriges Radio P4 Skaraborg,huvudredaktion,redaktion,Etermedier,Sveriges Radio
1227,1884,9,Skövde kommun,Västra Götalands län,Skaraborgs Allehanda,huvudredaktion,redaktion,Dagspress,NWT
1228,0,2020-02-29,Skövde kommun,Västra Götalands län,Skövde Nyheter,huvudredaktion,redaktion,Gratistidning,Hallpressen
1229,2020-03-01,9,Skövde kommun,Västra Götalands län,Skövde Nyheter,huvudredaktion,redaktion,Gratistidning,Bonnier|Hallpressen
1230,2019-01-28,2015-04-12,Skövde kommun,Västra Götalands län,Västnytt,lokalredaktion,redaktion,Etermedier,Sveriges Television
1231,2019-01-28,9,Skövde kommun,Västra Götalands län,SVT Nyheter Väst,lokalredaktion,redaktion,Etermedier,Sveriges Television
1232,2019-01-01,2020-05-01,Skövde kommun,Västra Götalands län,Skövde City News,huvudredaktion,redaktion,Sajt,
1233,2020-05-02,9,Skövde kommun,Västra Götalands län,Skaraborgs Nyheter,huvudredaktion,redaktion,Sajt,
1234,0,9,Åmåls kommun,Västra Götalands län,Sveriges Radio P4 Väst,lokalredaktion,redaktion,Etermedier,Sveriges Radio
1235,1911-12,2013-10-31,Åmåls kommun,Västra Götalands län,Provinstidningen Dalsland,huvudredaktion,redaktion,Dagspress,Draken
1236,2013-11-01,9,Åmåls kommun,Västra Götalands län,Provinstidningen Dalsland,huvudredaktion,redaktion,Dagspress,NWT
1237,2010,2018-18,Piteå kommun,Norrbottens län,Piteå gratistidning,huvudredaktion,redaktion,Gratistidning,Svenska Civildatalogerna
1238,1915,2019-12-31,Piteå kommun,Norrbottens län,Piteå-Tidningen,huvudredaktion,redaktion,Dagspress,
1239,2020-01-01,9,Piteå kommun,Norrbottens län,Piteå-Tidningen,huvudredaktion,redaktion,Dagspress,NTM
1240,0,2019-12-31,Älvsbyns kommun,Norrbottens län,Piteå-Tidningen,lokalredaktion,redaktion,Dagspress,
1241,2020-01-01,9,Älvsbyns kommun,Norrbottens län,Piteå-Tidningen,lokalredaktion,redaktion,Dagspress,NTM
1242,2010-01-15,9,Älvsbyns kommun,Norrbottens län,Älvsbyn just nu,huvudredaktion,redaktion,Sajt,
1243,1989,9,Sotenäs kommun,Västra Götalands län,Radio Sotenäs,huvudredaktion,redaktion,Etermedier,
1244,1879,2019-03-31,Sala kommun,Västmanlands län,Sala Allehanda,huvudredaktion,redaktion,Dagspress,Mittmedia
1245,2019-04-01,2020-04-01,Sala kommun,Västmanlands län,Sala Allehanda,huvudredaktion,redaktion,Dagspress,Bonnier|Mittmedia
1246,2020-04-02,9,Sala kommun,Västmanlands län,Sala Allehanda,huvudredaktion,redaktion,Dagspress,Bonnier
1247,0,2019-03-19,Sala kommun,Västmanlands län,sala.nu,huvudredaktion,redaktion,Sajt,
1248,2020-08,9,Älvdalens kommun,Dalarnas län,Siljan News,lokalredaktion,redaktion,Sajt,
1249,0,9,Karlsborgs kommun,Västra Götalands län,Skaraborgs Allehanda,lokalredaktion,redaktion,Dagspress,NWT
1250,0,9,Tibro kommun,Västra Götalands län,Skaraborgs Allehanda,lokalredaktion,redaktion,Dagspress,NWT
1251,0,9,Hörby kommun,Skåne län,Skånska Dagbladet,lokalredaktion,redaktion,Dagspress,Skånska Dagbladet
1252,0,2020-02-29,Aneby kommun,Jönköpings län,"Smålands-Tidningen med Smålands Dagblad, Vetlanda-Posten och Tranås tidning",lokalredaktion,redaktion,Dagspress,Hallpressen
1253,2020-03-01,9,Aneby kommun,Jönköpings län,"Smålands-Tidningen med Smålands Dagblad, Vetlanda-Posten och Tranås tidning",lokalredaktion,redaktion,Dagspress,Bonnier|Hallpressen
1254,0,2020-02-29,Sävsjö kommun,Jönköpings län,"Smålands-Tidningen med Smålands Dagblad, Vetlanda-Posten och Tranås tidning",lokalredaktion,redaktion,Dagspress,Hallpressen
1255,2020-03-01,9,Sävsjö kommun,Jönköpings län,"Smålands-Tidningen med Smålands Dagblad, Vetlanda-Posten och Tranås tidning",lokalredaktion,redaktion,Dagspress,Bonnier|Hallpressen
1256,0,9,Sävsjö kommun,Jönköpings län,Sävsjö-appen,huvudredaktion,redaktion,Sajt,
1257,0,9,Sävsjö kommun,Jönköpings län,Vision Höglandet,huvudredaktion,redaktion,Gratistidning,
1258,0,2020-02-29,Vetlanda kommun,Jönköpings län,"Smålands-Tidningen med Smålands Dagblad, Vetlanda-Posten och Tranås tidning",lokalredaktion,redaktion,Dagspress,Hallpressen
1259,2020-03-01,9,Vetlanda kommun,Jönköpings län,"Smålands-Tidningen med Smålands Dagblad, Vetlanda-Posten och Tranås tidning",lokalredaktion,redaktion,Dagspress,Bonnier|Hallpressen
1260,0,9,Vetlanda kommun,Jönköpings län,Vetlanda-appen,huvudredaktion,riktad titel,Sajt,
1261,0,9,Uppvidinge kommun,Kronobergs län,Smålandsposten,lokalredaktion,redaktion,Dagspress,Gota Media
1262,1989-02,9,Uppvidinge kommun,Kronobergs län,Uppvidinge Tidning,huvudredaktion,riktad titel,Gratistidning,
1263,0,9,Lessebo kommun,Kronobergs län,Smålandsposten,lokalredaktion,redaktion,Dagspress,Gota Media
1264,0,2020-02-29,Markaryds kommun,Kronobergs län,Smålänningen,lokalredaktion,redaktion,Dagspress,Hallpressen
1265,2020-03-01,9,Markaryds kommun,Kronobergs län,Smålänningen,lokalredaktion,redaktion,Dagspress,Bonnier|Hallpressen
1266,2014-02-15,9,Tranemo kommun,Västra Götalands län,Svenljunga Tranemo Tidning,huvudredaktion,redaktion,Gratistidning,Markbladet
1267,1992,2014-02-14,Tranemo kommun,Västra Götalands län,Svenljunga & Tranemo Tidning,huvudredaktion,redaktion,Gratistidning,
1268,2020-08,9,Hallsbergs kommun,Örebro län,Sydnärkenytt,lokalredaktion,redaktion,Sajt,
1269,0,9,Säffle kommun,Värmlands län,Säffle-Tidningen,huvudredaktion,redaktion,Dagspress,NWT
1270,0,2018-12-28,Gnesta kommun,Södermanlands län,Södermanlands Nyheter,lokalredaktion,redaktion,Dagspress,Sörmlands Media
1271,2018-12-29,9,Gnesta kommun,Södermanlands län,Södermanlands Nyheter,lokalredaktion,redaktion,Dagspress,NTM|Sörmlands Media
1272,2015-01-19,2017-08-21,Salems kommun,Stockholms län,Södra Sidan Salem/Rönninge,huvudredaktion,riktad titel,Gratistidning,Direktpress
1273,0,9,Kinda kommun,Östergötlands län,Tidningen Innehåll,lokalredaktion,riktad titel,Gratistidning,
1274,2018-01-15,2018-05-31,Kinda kommun,Östergötlands län,Vimmerby Tidning med Linköpings Tidning och Kinda-Posten,lokalredaktion,redaktion,Dagspress,NTM
1275,2018-06-01,9,Kinda kommun,Östergötlands län,Vimmerby Tidning med Kinda-Posten,lokalredaktion,redaktion,Dagspress,NTM
1276,0,2018-01-14,Kinda kommun,Östergötlands län,"Vimmerby Tidning med Västerviks-Posten, Linköpings Tidning och Kinda-Posten",lokalredaktion,redaktion,Dagspress,Swepress
1277,2018-06-01,2018-09-04,Kinda kommun,Östergötlands län,Kindaplatsen,huvudredaktion,riktad titel,Gratistidning,
1278,2018-09-05,9,Kinda kommun,Östergötlands län,Kinda-/Ydreplatsen,huvudredaktion,riktad titel,Gratistidning,
1279,0,2018-09-03,Kinda kommun,Östergötlands län,Östgöta Correspondenten,lokalredaktion,redaktion,Dagspress,NTM
1280,0,2019-04-03,Trollhättans kommun,Västra Götalands län,Trollhättan 7 dagar,huvudredaktion,redaktion,Gratistidning,Stampen
1281,0,9,Trollhättans kommun,Västra Götalands län,TTELA,huvudredaktion,redaktion,Dagspress,Stampen
1282,0,9,Vänersborgs kommun,Västra Götalands län,TTELA,lokalredaktion,redaktion,Dagspress,Stampen
1283,2011-02-02,2020-09-22,Vänersborgs kommun,Västra Götalands län,Vänersborgaren,huvudredaktion,redaktion,Gratistidning,
1284,0,9,Ulricehamns kommun,Västra Götalands län,Ulricehamns Tidning,huvudredaktion,redaktion,Dagspress,Gota Media
1285,0,2020-02-29,Gnosjö kommun,Jönköpings län,Värnamo Nyheter,lokalredaktion,redaktion,Dagspress,Hallpressen
1286,2020-03-01,9,Gnosjö kommun,Jönköpings län,Värnamo Nyheter,lokalredaktion,redaktion,Dagspress,Bonnier|Hallpressen
1287,0,9,Robertsfors kommun,Västerbottens län,Västerbottens Mellanbygd,lokalredaktion,redaktion,Dagspress,Tidningar i Norr
1288,0,9,Vindelns kommun,Västerbottens län,Västerbottningen,lokalredaktion,redaktion,Dagspress,Tidningar i Norr
1289,0,9,Vännäs kommun,Västerbottens län,Västerbottningen,lokalredaktion,redaktion,Dagspress,Tidningar i Norr
1290,0,9,Nordmalings kommun,Västerbottens län,Västerbottningen,lokalredaktion,redaktion,Dagspress,Tidningar i Norr
1291,1906-01-04,2020-02-29,Tidaholms kommun,Västra Götalands län,Västgöta-Bladet,huvudredaktion,redaktion,Dagspress,Hallpressen
1292,2020-03-01,9,Tidaholms kommun,Västra Götalands län,Västgöta-Bladet,huvudredaktion,redaktion,Dagspress,Bonnier|Hallpressen
1293,1996,9,Åtvidabergs kommun,Östergötlands län,Åtvidabergsplatsen,huvudredaktion,redaktion,Gratistidning,
1294,0,9,Åtvidabergs kommun,Östergötlands län,Östgöta Correspondenten,lokalredaktion,redaktion,Dagspress,NTM
